Book ID,Original Title,Original_Title_VIAF-URI,Original_Title_Wikidata-URI,Instance of Work,Instance_of_Work_Wikidata,Author,Author_VIAF_URI,Author_Wikidata_URI,Background of Indigenous Author,Source Background for Indigenous Author,FirstNation_band_Author_Wikidata_URI,IndigenousGroup_Indigenous_Author_Wikidata_URI,Ethnic_Group_Indigenous_Author_Wikidata_URI,Ethnic_Group_non-Indigenous_Author,Ethnic_Group_non-Indigenous_Author_Wikidata_URI,Source Background for non-Indigenous Author,Contributor,Contributor_VIAF_URI,Contributor_Wikidata_URI,Publisher,Publisher_VIAF_URI,Publisher_Wikidata_URI,Year Published,Subject Heading,Xwi7xwa Classification System,Language,ISBN-13
Book042,All Our Relations,,All Our Relations: Native Struggles for Land and Life,,,"Talaga, Tanya","Talaga, Tanya.",,Anishinaabe,Anishinaabe (maternal); (per confederationcentre.com/wp-content/uploads/2023/08/Talaga-Tanya-Web-Bio.pdf),,,Anishinaabe,,,,,,,House of Anansi Press,,House of Anansi Press,2018,History - Canada; Health,CA-CG; S,en,9781608466290
,,,,,,,,,Polish Canadians,Polish-Canadian (paternal) (per confederationcentre.com/wp-content/uploads/2023/08/Talaga-Tanya-Web-Bio.pdf),,,Polish Canadians,,,,,,,,,,,,,,
,,,,,,,,,Fort William First Nation,"Member of Fort William First Nation, in the Robinson-Superior Treaty territory (per confederationcentre.com/wp-content/uploads/2023/08/Talaga-Tanya-Web-Bio.pdf)",Fort William First Nation,,,,,,,,,,,,,,,,
Book043,Father / Genocide,,,,,"Tamez, Margo","Tamez, Margo",,Lipan Apache Band of Texas,"Tribally enrolled Lipan Apache Band of Texas, an organization that does not have federal or state recognition, who are of the greater Dene Nation currently trifurcated by the Canada-US and US-Mexico settler borders per margotamez.com",Lipan Apache Band of Texas,,,,,,,,,Turtle Point Press,,Turtle Point Press,2021,Arts;  Worldview; Knowledge Keeping; Women,W; T; P; PW,en,9781933527048
Book044,Guendaguti nee Sisi,"Toledo, Natalia. | Guendaguti ñee sisi | Zapotec 2005",,La Muerte de Pies Ligeros,,"Toledo, Natalia ","Toledo, Natalia, 1967-....",,Zapotec,"Zapotec of Juchitan of Oaxaca, Mexico per calendar.umd.edu/visit-by-mexican-poet-natalia-toledo-2",,,Zapotec,,,,,,,Fondo de Cultura Económica,,Fondo de Cultura Económica,2006,Languages; Arts; Literature; Worldview; Knowledge Keeping,X; W; Y; T; P,zap,9789681676711
,,,,,,,,,,,,,,,,,,,,,,,,,,es,
Book045,Decolonizing Methodologies: Research and Indigenous Peoples,,Decolonizing Methodologies,,,"Tuhiwai Smith, Linda","Tuhiwai Smith, Linda",,Māori,Maori; Ngati Porou iwi (maternal); Ngati Awa iwi (paternal) and Tuhourangi iwi (tribe) per uwinnipeg.ca/awards-distinctions/honorary-doctorate/tuhiwai-smith.html,,,Māori,,,,,,,Zed Books,,Zed Books,1999,"Maori; Education; Worldview; Development, Law, Governance; Rights & Title; ",DM; E; T; F-K; M,en,9781848139503
,,,,,,,,,Ngāti Porou ki Hauraki,Ngati Porou iwi (maternal) (per uwinnipeg.ca/awards-distinctions/honorary-doctorate/tuhiwai-smith.html),,,Ngāti Porou ki Hauraki,,,,,,,,,,,,,,
,,,,,,,,,Ngāti Awa,Ngati Awa iwi (paternal)(per uwinnipeg.ca/awards-distinctions/honorary-doctorate/tuhiwai-smith.html),,,Ngāti Awa,,,,,,,,,,,,,,
,,,,,,,,,Tūhourangi,Tuhourangi iwi (tribe) (per uwinnipeg.ca/awards-distinctions/honorary-doctorate/tuhiwai-smith.html),,,Tūhourangi,,,,,,,,,,,,,,
Book046,One Drum: Stories and Ceremonies for a Planet,,,,,"Wagamese, Richard","Wagamese, Richard",,Wabaseemoong Independent Nations,Wabaseemoong Independent Nations of the Ojibwe First Nation (per thecanadianencyclopedia.ca/en/article/richard-wagamese),Wabaseemoong Independent Nations,,,,,,,,,Douglas & McIntyre,,Douglas & McIntyre,2019,"Arts, Music, Dance; Health; Ojibwe peoples",W; S,en,9781771622295
Book047,"Braiding Sweetgrass: Indigenous Wisdom, Scientific Knowledge, and the Teachings of Plants","Kimmerer, Robin Wall. | Braiding sweetgrass. | Català",,,,"Wall Kimmerer, Robin ","Wall Kimmerer, Robin",,Citizen Potawatomi Nation,Enrolled citizen of the Citizen Potawatomi Nation (per robinwallkimmerer.com),,Citizen Potawatomi Nation,,,,,,,,Milkweed Editions,,Milkweed Editions,2015,Knowledge Keeping; Environment; Science; Worldview,P; N; E; T,en,9781571313560
Book048,The Right to Be Cold: One Woman's Fight to Protect the Arctic and Save the Planet from Climate Change,"Watt-Cloutier, Sheila,. | Right to be cold : one woman's fight to protect the arctic and save the planet from climate change",,,,"Watt-Cloutier, Sheila ","Watt-Cloutier, Sheila",,Inuit,Sheila Watt-Cloutier lived a traditional Inuit life until the age of 10 (per uwinnipeg.ca/awards-distinctions/honorary-doctorate/cloutier.html),,Inuit in Canada,,,,,,,,University of Minnesota Press,,University of Minnesota Press,2018,Environment; Inuit women; History - Canada,N; DC; PW; CA-CG ,en,9781517904975
Book049,"Who We Are Becoming Matters: The Courage, Wisdom, and Aloha We Need in a Timeplace of Collapse",,,,,"Wong, Norma","Wong, Norma",,Native Hawaiians,Native Hawaiian (per normawong.com/about),,,Native Hawaiians,,,,,,,North Atlantic Books,,North Atlantic Books,2026,Indigenous Hawaiian; Knowledge Keeping,P,en,9798889843214
,,,,,,,,,Hakka,Hakka (per normawong.com/about),,,Hakka people,,,,,,,,,,,,,,
Book050,Kurumi Guare no Coracao da Amazonia,,,,,"Yamã, Yaguarê","Yamã, Yaguarê",,Maraguás,Maraguá (maternal) (per museudapessoa.org/historia-de-vida/o-sater-escritor),,Maraguás,,,,,,,,Editora FTD,,Editora FTD,2007,Arts; Literature; Worldview; Knowledge Keeping; Women,W; Y; T; P; PW; YT-YUE,pt,9788532262189
,,,,,,,,,Satere-Mawé ,Satere-Mawé (paternal) (per museudapessoa.org/historia-de-vida/o-sater-escritor),,,Mawé people,,,,,,,,,,,,,,
